NetCollection; netCollection; netCollection.name; IgnoreNetCollectionText
Prefabs; netCollection.m_prefabs; Count()
Type; netInfo; netInfo.m_class.name; netInfo.name; netInfo.GetLocalizedTitle(); netName; IgnoreNetText; netInfo.m_maxSlope; Group; match; limit; cfgLimit


NetCollection; TAM Road (NetCollection); TAM Road
Prefabs; NetInfo[]; 149
NetInfo; Two-Lane Alley (NetInfo); NExt2LAlley; Two-Lane Alley; Two-Lane Alley; Tiny Road; ; 0.35; Tiny Roads; name; 0.35; 0.35
NetInfo; One-Lane Oneway (NetInfo); NExt1LOneway; One-Lane Oneway; One-Lane Oneway; Tiny Road; ; 0.35; Tiny Roads; name; 0.35; 0.35
NetInfo; One-Lane Oneway With Parking (NetInfo); NExt1LOnewayWithParking; One-Lane Oneway With Parking; One-Lane Oneway With Parking; Tiny Road; ; 0.35; Tiny Roads; name; 0.35; 0.35
NetInfo; Tiny Cul-De-Sac (NetInfo); NExt1LOnewayWithParking; Tiny Cul-De-Sac; Tiny Cul-De-Sac; Tiny Road; ; 0.35; Tiny Roads; name; 0.35; 0.35
NetInfo; PlainStreet2L (NetInfo); Gravel Road; PlainStreet2L; Two-Lane Plain Street; Gravel Road; ; 0.35; Tiny Roads; name; 0.35; 0.35
NetInfo; BasicRoadPntMdn (NetInfo); NEXTbasicroadpaintedmedian; BasicRoadPntMdn; Basic Road with Painted Median; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadPntMdn Elevated (NetInfo); NEXTbasicroadpaintedmedian; BasicRoadPntMdn Elevated; NET_TITLE[BasicRoadPntMdn Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadPntMdn Bridge (NetInfo); NEXTbasicroadpaintedmedian; BasicRoadPntMdn Bridge; NET_TITLE[BasicRoadPntMdn Bridge]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadPntMdn Tunnel (NetInfo); NEXTbasicroadpaintedmedianTunnel; BasicRoadPntMdn Tunnel; NET_TITLE[BasicRoadPntMdn Tunnel]:0; Small Heavy Road Tunnel; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadPntMdn Slope (NetInfo); NEXTbasicroadpaintedmedian; BasicRoadPntMdn Slope; NET_TITLE[BasicRoadPntMdn Slope]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; One-Lane Oneway With Two Bicycle Lanes (NetInfo); NExt1LOnewayWithBicycle; One-Lane Oneway With Two Bicycle Lanes; One-Lane Oneway With Two Bicycle Lanes; Tiny Road; ; 0.35; Tiny Roads; name; 0.35; 0.35
NetInfo; BasicRoadTL (NetInfo); NExtSmall3LRoad; BasicRoadTL; Basic Road with Turning Lane; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
NetInfo; BasicRoadTL Elevated (NetInfo); NExtSmall3LRoad; BasicRoadTL Elevated; NET_TITLE[BasicRoadTL Elevated]:0; Small Heavy Road; ; 0.25; Small Roads; name; 0.25; 0.25
